DOID	DIAGNOSIS_CD	category	detail
DOID:11491	H53.62	H53	62
DOID:115	I31.4	I31	4
DOID:11502	Q23.3	Q23	3
DOID:11506	H66	H66	
DOID:11506	H66.40	H66	40
DOID:11506	H66.4	H66	4
DOID:11512	I82.0	I82	0
DOID:11514	K14.5	K14	5
DOID:11516	I11.9	I11	9
DOID:11516	I11	I11	
DOID:11518	H57.09	H57	09
DOID:11527	J38.6	J38	6
DOID:11541	H18.83	H18	83
DOID:11543	H16.31	H16	31
DOID:11547	H18.00	H18	00
DOID:11550	H49.0	H49	0
DOID:11552	H18.31	H18	31
DOID:11555	H18.51	H18	51
DOID:11557	H65.00	H65	00
DOID:11557	H65.0	H65	0
DOID:11561	H35.03	H35	03
DOID:11563	H35.06	H35	06
DOID:11573	A32	A32	
DOID:11573	A32.9	A32	9
DOID:11574	G00.2	G00	2
DOID:11577	G83.4	G83	4
DOID:11581	H16.25	H16	25
DOID:11589	G90.1	G90	1
DOID:11593	C67.2	C67	2
DOID:11594	H15.85	H15	85
DOID:116	C38.0	C38	0
DOID:11603	P83.4	P83	4
DOID:11612	E28.2	E28	2
DOID:11615	C60.2	C60	2
DOID:11615	C60.9	C60	9
DOID:11615	C60	C60	
DOID:11623	K04.1	K04	1
DOID:11629	N81.84	N81	84
DOID:11634	E03.9	E03	9
DOID:11637	H52.53	H52	53
DOID:11638	H52.4	H52	4
DOID:11653	H11.11	H11	11
DOID:11656	L12.1	L12	1
DOID:1166	M12.3	M12	3
DOID:1166	M12.30	M12	30
DOID:11661	H53.55	H53	55
DOID:11664	I12	I12	
DOID:11664	N26.9	N26	9
DOID:11665	Q91.7	Q91	7
DOID:11668	H02.73	H02	73
DOID:11669	H02.86	H02	86
DOID:11671	H02.72	H02	72
DOID:11678	B73	B73	
DOID:1168	E78.5	E78	5
DOID:11685	L82.0	L82	0
DOID:11693	K04.4	K04	4
DOID:11695	I81	I81	
DOID:117	C38.0	C38	0
DOID:11714	O24.4	O24	4
DOID:11716	R73.03	R73	03
DOID:11717	P70.2	P70	2
DOID:11719	G71.09	G71	09
DOID:1172	E78.1	E78	1
DOID:11720	G71.09	G71	09
DOID:11721	E74.09	E74	09
DOID:11722	G71.11	G71	11
DOID:11724	G71.03	G71	03
DOID:11724	G71.039	G71	039
DOID:11725	Q87.19	Q87	19
DOID:11727	G71.02	G71	02
DOID:11729	A69.2	A69	2
DOID:11729	A69.20	A69	20
DOID:11746	C57.3	C57	3
DOID:11747	C57.4	C57	4
DOID:11748	C57.2	C57	2
DOID:11750	A37.1	A37	1
DOID:11754	H44.32	H44	32
DOID:11759	D50	D50	
DOID:11771	H55.03	H55	03
DOID:11772	H44.53	H44	53
DOID:11781	H52.22	H52	22
DOID:11782	H52.20	H52	20
DOID:11782	H52.2	H52	2
DOID:11787	D73.2	D73	2
DOID:11797	J37.0	J37	0
DOID:11801	E46	E46	
DOID:11809	C67.5	C67	5
DOID:11811	C67.4	C67	4
DOID:11813	C67.0	C67	0
DOID:11814	C67.3	C67	3
DOID:11816	H43.81	H43	81
DOID:11817	C67.7	C67	7
DOID:11818	C67.6	C67	6
DOID:11819	C66	C66	
DOID:11820	C67.1	C67	1
